embed_dim,hidden_size,json_top_keys,kind,list_item_keys,list_length,model_class,model_name,mtime_iso,n_classes,relative_path,tokenizer_name,top_keys
768,,"[""LLMModule""]",model_config,,,LLMModule,roberta-base,2026-04-02T12:11:38+00:00,2,Code\thesis\config\transformers\2_labels\B5_E_DL2_RoBERTa_mlp768_1024.json,roberta-base,
768,,"[""LLMModule""]",model_config,,,LLMModule,facebook/bart-base,2026-04-04T01:03:36+00:00,2,Code\thesis\config\transformers\2_labels\B6_BART.json,facebook/bart-base,
768,,"[""LLMModule""]",model_config,,,LLMModule,facebook/bart-base,2026-04-02T12:11:42+00:00,2,Code\thesis\config\transformers\2_labels\B6_BART_mlp768_1024.json,facebook/bart-base,
768,,"[""LLMModule""]",model_config,,,LLMModule,distilbert-base-uncased,2026-04-04T01:03:32+00:00,3,Code\thesis\config\transformers\3_labels\B3_E_DL1_DistilBERT.json,distilbert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,distilbert-base-uncased,2026-04-02T12:11:32+00:00,3,Code\thesis\config\transformers\3_labels\B3_E_DL1_DistilBERT_mlp768_1024.json,distilbert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,google-bert/bert-base-uncased,2026-04-04T01:03:36+00:00,3,Code\thesis\config\transformers\3_labels\B4_E_DL3_BERT.json,google-bert/bert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,google-bert/bert-base-uncased,2026-04-02T12:11:36+00:00,3,Code\thesis\config\transformers\3_labels\B4_E_DL3_BERT_mlp768_1024.json,google-bert/bert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,roberta-base,2026-04-04T01:03:36+00:00,3,Code\thesis\config\transformers\3_labels\B5_E_DL2_RoBERTa.json,roberta-base,
768,,"[""LLMModule""]",model_config,,,LLMModule,roberta-base,2026-04-02T12:11:40+00:00,3,Code\thesis\config\transformers\3_labels\B5_E_DL2_RoBERTa_mlp768_1024.json,roberta-base,
768,,"[""LLMModule""]",model_config,,,LLMModule,facebook/bart-base,2026-04-04T01:03:38+00:00,3,Code\thesis\config\transformers\3_labels\B6_BART.json,facebook/bart-base,
768,,"[""LLMModule""]",model_config,,,LLMModule,facebook/bart-base,2026-04-02T12:11:42+00:00,3,Code\thesis\config\transformers\3_labels\B6_BART_mlp768_1024.json,facebook/bart-base,
